ROUTE_ID,TRIP_ID,TRIP_HEADSIGN,DIRECTION_ID,AGENCY_ID,ROUTE_SHORT_NAME,ROUTE_LONG_NAME,STOP_ID,STOP_SEQUENCE,STOP_HEADSIGN,STOP_NAME,STOP_LAT,STOP_LON
93-GRN-y11-18,3.MF-BH.93-GRN-y11-18.2.I,,1,10000,GRN,,822GA00455,30,,Phibsborough,53.3603735102995,-6.27888337452366
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,822GA00455,3,,Phibsborough,53.3603735102995,-6.27888337452366
93-GRN-y11-18,3.MF-BH.93-GRN-y11-18.2.I,,1,10000,GRN,,822GA00469,31,,Cabra,53.3643367750297,-6.28196929164461
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,822GA00469,2,,Cabra,53.3643367750297,-6.28196929164461
93-GRN-y11-18,3.MF-BH.93-GRN-y11-18.2.I,,1,10000,GRN,,822GA00459,32,,Broombridge,53.3722378096588,-6.29768727017946
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,822GA00459,1,,Broombridge,53.3722378096588,-6.29768727017946
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,822GA00471,7,,Parnell,53.3531052634056,-6.26050348365004
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,822GA00034,8,,Marlborough,53.349244873455,-6.25773158174384
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,822GA00035,9,,"Trinity College, Trinity",53.345279750127,-6.25825374630143
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,822GA00440,12,,Harcourt,53.3336246193004,-6.26273785213709
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,822GA00071,13,,Charlemont,53.3308170285893,-6.25881304466914
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,822GA00075,14,,Ranelagh,53.3261319365781,-6.25619643649449
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,822GA00083,15,,Beechwood,53.3209242897877,-6.25472755973654
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,822GA00275,16,,Cowper,53.3163934083477,-6.25344151996887
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,822GA00278,17,,Milltown,53.3096724384248,-6.25174998445436
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,825GA00281,18,,Windy Arbour,53.3017475638273,-6.25070836073336
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,825GA00286,19,,Dundrum,53.2923905211767,-6.24518032276024
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,825GA00291,20,,Balally,53.2860463944099,-6.23675599383553
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,825GA00295,21,,Kilmacud,53.2830028034142,-6.22426815021288
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,825GA00297,22,,Stillorgan,53.2794245435184,-6.21037969938823
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,825GA00293,23,,Sandyford,53.2775502511836,-6.20468456856607
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,825GA00310,24,,Central Park,53.2701680261721,-6.20389941956598
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,825GA00313,25,,Glencairn,53.2663230997252,-6.21001243119552
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,825GA00316,26,,The Gallops,53.2611210592308,-6.20597249176767
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,825GA00319,27,,Leopardstown Valley,53.2582472581313,-6.19838832357195
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,825GA00322,28,,Ballyogan Wood,53.2550341124762,-6.18447950288443
