ROUTE_ID,TRIP_ID,TRIP_HEADSIGN,DIRECTION_ID,AGENCY_ID,ROUTE_SHORT_NAME,ROUTE_LONG_NAME,STOP_ID,STOP_SEQUENCE,STOP_HEADSIGN,SHAPE_DIST_TRAVELED,STOP_NAME,STOP_LAT,STOP_LON
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000039,17, Grange Castle IAWS,7371.79,"The Rise, stop 39",53.3804141869347,-6.26565875906584
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000116,18, Grange Castle IAWS,7959.27,"Griffith Lawns, stop 116",53.3776934606461,-6.25966673989331
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000117,19, Grange Castle IAWS,8105.82,"Walnut Rise, stop 117",53.3773659067276,-6.25754570845521
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000118,20, Grange Castle IAWS,8379.85,"Clare Road, stop 118",53.3766430016933,-6.25359209857676
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000119,21, Grange Castle IAWS,8685.46,"The Village, stop 119",53.3751904807261,-6.25076574528229
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000044,22, Grange Castle IAWS,8944.82,"Skylon Hotel, stop 44",53.3730174091229,-6.25213230324291
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB007603,23, Grange Castle IAWS,9119.01,"St Patrick's College, stop 7603",53.371576725454,-6.2531832038883
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000045,24, Grange Castle IAWS,9312.95,"DCU St Patrick's, stop 45",53.3699364344031,-6.25410694084961
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000046,25, Grange Castle IAWS,9639.55,"Botanic Avenue, stop 46",53.3671310162176,-6.25525855655008
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000047,26, Grange Castle IAWS,10019.1,"Drumcondra Rail Stn, stop 47",53.3639161189952,-6.25729825652797
