ID,ADDRESS,LAT,LONG
58,"214 RATOATH RD, CABRA, DUBLIN 7, Dublin, Ireland",53.367798,-6.3034676
59,"295 NUTGROVE AVENUE, RATHFARNHAM, DUBLIN 14, Dublin, Ireland",53.2941101,-6.2774094
60,"297 LOWER KIMMAGE ROAD, KIMMAGE, DUBLIN 6W, Dublin, Ireland",53.3161649,-6.2948094
61,"5 HILLCREST LAWNS, LUCAN, DUBLIN, Dublin, Ireland",53.3502637,-6.4563774
62,"56 ELM MOUNT AVE, BEAUMONT, DUBLIN 9, Dublin, Ireland",53.3825915,-6.2289553
63,"9 MARINE DR, SANDYMOUNT, DUBLIN 4, Dublin, Ireland",53.3335799,-6.2159711
64,"18 MARETIMO GARDENS EAST, BLACKROCK, DUBLIN, Dublin, Ireland",53.3002835,-6.1713772
65,"49 DORNEY COURT, SHANKILL, DUBLIN, Dublin, Ireland",53.2326353,-6.1204003
66,"49 KILWORTH RD, DRIMNAGH, DUBLIN 12, Dublin, Ireland",53.3343474,-6.3248244
67,"5 WOODBINE AVENUE, BLACKROCK, CO DUBLIN, Dublin, Ireland",53.3097353,-6.2130578
68,"52 RICHMOND RD, DRUMCONDRA, DUBLIN, Dublin, Ireland",53.3683547,-6.2530999
69,"65 WOODLAWN PARK GROVE, FIRHOUSE, DUBLIN 24, Dublin, Ireland",53.2810879,-6.3354927
70,"8 BARNWELL AVE, HANSFIELD, DUBLIN 15, Dublin, Ireland",53.3919711,-6.4424513
71,"105 ROCKVIEW, SANDYFORD, DUBLIN 18, Dublin, Ireland",53.2703244,-6.2407388
72,"14 Shackleton Lawn, Shackleton Park, Lucan, Dublin, Ireland",53.3453876,-6.4717707
73,"15 NANGOR CRESCENT, CLONDALKIN, DUBLIN, Dublin, Ireland",53.321603,-6.4094484
74,"159 CHERRYWOOD PARK, CLONDALKIN, DUBLIN 22, Dublin, Ireland",53.3175494,-6.4148306
75,"20 HUNTSTOWN DR, MULHUDDART, DUBLIN 15, Dublin, Ireland",53.4006062,-6.4101079
76,"21 Belltree Lane, Belltree, Clongriffin, Dublin, Ireland",53.4059046,-6.1530819
77,"29 The Avenue, St Marnock's Bay, Portmarnock, Dublin, Ireland",53.4167264,-6.1484147
78,"33 WINDMILL SQ, CLONSILLA, DUBLIN 15, Dublin, Ireland",53.3801484,-6.3971444
79,"34B Hazelgrove, Tallaght, Dublin 24, Dublin, Ireland",53.27503,-6.3962596
80,"364 CASHEL ROAD, CRUMLIN, DUBLIN 12, Dublin, Ireland",53.3155704,-6.3014903
81,"43 ANGLESEA RD, BALLSBRIDGE, DUBLIN 4, Dublin, Ireland",53.3246683,-6.2309799
82,"47 BELGARD SQ NORTH, TALLAGHT, DUBLIN 24, Dublin, Ireland",53.290366,-6.3700847
83,"53 MCCABE VILLAS, BOOTERSTOWN, DUBLIN, Dublin, Ireland",53.3044256,-6.2020462
84,"53 RAPHOE RD, CRUMLIN, DUBLIN 12, Dublin, Ireland",53.3265179,-6.3117208
85,"60 DALE RD, STILLORGAN, DUBLIN, Dublin, Ireland",53.2856934,-6.2129915
86,"LISIEUX HALL, MURPHYSTOWN RD, SANDYFORD DUBLIN 18, Dublin, Ireland",53.2634503,-6.2119724
87,"12 DALRIADA SQ, KNOCKLYON, DUBLIN 16, Dublin, Ireland",53.2719615,-6.3270875
88,"12 WYNBERG PARK, BLACKROCK, DUBLIN, Dublin, Ireland",53.2903175,-6.1643026
89,"19 THE BRAMBLES, SKERRIES, DUBLIN, Dublin, Ireland",53.5773994,-6.1184551
90,"25 SEAFIELD COURT, MALAHIDE, DUBLIN, Dublin, Ireland",53.4525589,-6.1598633
91,"3 CLONTARF PARK, CLONTARF, DUBLIN 3, Dublin, Ireland",53.3600552,-6.1936989
92,"3 MOYVILLE LAWN, RATHFARNHAM, DUBLIN 16, Dublin, Ireland",53.282044,-6.2938753
93,"30 Kinsealy Manor, Kinsealy, Dublin, Ireland",53.423947,-6.1740699
94,"37 BRENNANSTOWN SQ, BRENNANSTOWN, CABINTEELY DUBLIN 18, Dublin, Ireland",53.2565056,-6.1503226
95,"69 GARNISH SQ, WATERVILLE, BLANCHARDSTOWN DUBLIN 15, Dublin, Ireland",53.394,-6.3713136
96,"71 BEALING VILLAGE BLVD, TYRELLSTOWN, DUBLIN 15, Dublin, Ireland",53.4181301,-6.3874697
97,"90 RATHDOWN PARK, TERENURE, DUBLIN 6W, Dublin, Ireland",53.3038984,-6.2906006
98,"98 THE RAMPARTS, LOUGHLINSTOWN, DUBLIN, Dublin, Ireland",53.2507021,-6.1431666
99,"1 SUMMERFIELD CLOSE, BLANCHARDSTOWN, DUBLIN 15, Dublin, Ireland",53.3872537,-6.3864593
100,"11 COLLEGE MANOR, DRUMCONDRA, DUBLIN 9, Dublin, Ireland",53.3683913,-6.2572584
101,"12 KINGSTON AVENUE, BALLINTEER, DUBLIN 16, Dublin, Ireland",53.270531,-6.2502795
102,"130 CARNLOUGH RD, CABRA, DUBLIN 7, Dublin, Ireland",53.3655244,-6.2928857
103,"16 GRIFFITH HEIGHTS, FINGLAS EAST, DUBLIN 11, Dublin, Ireland",53.3812135,-6.2866081
104,"170 BEECHWOOD COURT, STILLORGAN, DUBLIN, Dublin, Ireland",53.2816931,-6.1919597
105,"172 THE LINKS, DONABATE, DUBLIN, Dublin, Ireland",53.4872109,-6.1430579
106,"20 COIS INBHIR, DONABATE, COUNTY DUBLIN, Dublin, Ireland",53.4938989,-6.1432458
107,"20 GRIFFEEN GLEN CRESCENT, LUCAN, DUBLIN, Dublin, Ireland",53.3425593,-6.4356352
108,"21 ELMPARK AVE, RANELAGH, DUBLIN 6, Dublin, Ireland",53.324035,-6.2545541
109,"24 BEAUMONT CRESCENT, BEAUMONT, DUBLIN, Dublin, Ireland",53.3864781,-6.2273695
110,"26 CHURCH AVE, DUBLIN 9, DUBLIN, Dublin, Ireland",53.3712228,-6.2520868
